name,ratings,ctype_and_loc,reviews,salaries
Hindustan Unilever,4.2,FMCG | Mumbai +543 other locations,7.2k,20.5k
Axis Max Life Insurance,4.0,Insurance | New Delhi +505 other locations,7.1k,20k
ITC,3.9,FMCG | Bengaluru +378 other locations,7.1k,24.9k
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Hyderabad +405 other locations,6.9k,18.7k
Tata Projects,4.2,Engineering & Construction | Mumbai +287 other locations,6.8k,22.8k
Coforge,3.3,IT Services & Consulting | Noida +103 other locations,6.8k,50.4k
Bajaj Life Insurance,3.8,Insurance | Pune +616 other locations,6.6k,17.7k
Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +859 other locations,6.6k,12.8k
FIS,3.8,FinTech | Pune +60 other locations,6.5k,38.9k
L&T Technology Services,3.1,IT Services & Consulting | Bengaluru +93 other locations,6.5k,43.7k
Omega Healthcare,3.8,BPO | Chennai +69 other locations,6.4k,27.2k
Oracle,3.5,Software Product | Bengaluru +56 other locations,6.4k,63.6k
Muthoot Finance,3.7,NBFC | Bengaluru +792 other locations,6.4k,13k
JLL,4.1,Real Estate | Gurugram +86 other locations,6.3k,24.9k
IIFL Finance,4.0,NBFC | Mumbai +810 other locations,6.3k,14.1k
Indian Army,4.7,Defence & Aerospace | New Delhi +363 other locations,6.3k,9.6k
eClerx,3.1,IT Services & Consulting | Pune +32 other locations,6.2k,32.7k
HCL Group,3.5,IT Services & Consulting | Chennai +97 other locations,6.1k,39.1k
DMart,3.9,Retail | Mumbai +251 other locations,6.1k,18.7k
Virtusa Consulting Services,3.7,IT Services & Consulting | Hyderabad +55 other locations,6.1k,57.2k
Piramal Finance,4.2,NBFC | Mumbai +424 other locations,6k,12k
HSBC Group,3.8,Financial Services | Bengaluru +63 other locations,6k,44.3k
Indiamart Intermesh,3.5,Internet | Noida +174 other locations,6k,21.5k
PolicyBazaar,3.8,Internet | Gurugram +152 other locations,6k,17.6k
SMFG India Credit,3.9,NBFC | Mumbai +597 other locations,5.9k,10.8k
Access Healthcare,3.7,BPO | Chennai +63 other locations,5.8k,29k
BigBasket,3.9,Internet | Bengaluru +144 other locations,5.8k,19.5k
Siemens,3.9,Industrial Automation | Bengaluru +155 other locations,5.8k,34.2k
Aurobindo Pharma,4.0,Pharma | Hyderabad +115 other locations,5.8k,20.7k
Udaan,3.9,Internet | Bengaluru +367 other locations,5.7k,15.8k
