product_name,ratings,price
"Pilgrim 24K Gold Face Serum With Niacinamide & Hyaluronic Acid, Dewy Primer For Face Make-Up For All Skin Types, Korean Skin Care For Unisex, 20ml",3.9 out of 5 stars,486
The Derma Co 0.3% Retinol Serum - 30ml | For Younger-Looking & Spotless Skin | Anti-Aging | Reduces Fine Lines & Wrinkles,4.1 out of 5 stars,684
The Derma Co Nia-Zelaic Oil Control Face Serum with 10% Niacinamide & 5% Azelaic Acid | Reduces Acne Marks | Prevents New acne | Controls Oil Production | Kills 99% Of Acne Bacteria| | Face Serum for Women & Men | 30 ml,4.4 out of 5 stars,531
"The Derma Co 1% Kojic + Arbutin Night Repair Face Serum-Gel | Reduces Dark Spots, Pigmentation & Blemishes | For Men & Women | 50 g",4.0 out of 5 stars,479
"Plum 2% Encapsulated Salicylic Acid Face Serum | Fights Active Acne, Controls Oil & Soothes Inflammation | Lightweight & Quick-Absorbing Serum for Face | for All Skin Types | for Women & Men | 10ml",4.2 out of 5 stars,188
"Plum 5% Niacinamide & Rice Water Beginner Friendly Face Serum 30ml | Provides Clear, Glowing & Brightening Skin | Women & Men | All Skin Types",4.2 out of 5 stars,509
The Derma Co 5% Vitamin C Daily Face Serum with Ferulic Acid & Multivitamin for Skin Illumination - 30ml,3.9 out of 5 stars,469
PILGRIM Korean 0.5% Retinol & 1% Hyaluronic Acid Lift & Firm Anti Aging Serum | Retinol serum for face| Reduce Fine Lines & Wrinkles|For Men & Women |All Skin Types|30ml,4.1 out of 5 stars,533
The Derma Co 2% Alpha Arbutin Face Serum - 30ml | Treats Dark Spots | Evens Skin Tone,3.9 out of 5 stars,437
"The Derma Co Snail Peptide 96 Hydrating Serum with Niacinamide & Peptide Complex for Smooth & Moisturized Skin | Snail Mucin Serum | Dull Skin & Fine Lines, Korean Skincare - 80 ml",4.1 out of 5 stars,593
The Derma Co 15% Vitamin C Face Serum with 5% Niacinamide | Powered by Deep Penetration Formula™ | Fades Dark Spots | Reduces Pigmentation | Boosts Collagen | Brightens Skin | Suitable for All Skin Types | 30 ml,4.0 out of 5 stars,700
"Pilgrim 2% Hyaluronic Acid Hydration Super Serum With Kiwi Extracts For Hydrated Skin For Unisex Of All Skin Types Korean Skin Care, 30ml",4.0 out of 5 stars,381
"Minimalist Multi Peptide Night Face Serum for Ageless Younger Skin, 30 ml | Collagen Boosting, Hydrating & Overnight Repair Serum for Women & Men with 7% Matrixyl 3000 & 3% Bio-Placenta",4.3 out of 5 stars,664
Pilgrim 2% Kojic Acid Serum for face (30 ml) with 1% Alpha Arbutin & Korean White Lotus For Acne & Darks spots| Anti-pigmentation Face Serum For Men & Women | For All Skin Types,4.0 out of 5 stars,370
PILGRIM French Red Vine & Hyaluronic acid serum with peptides | Red vine serum for face| For women & men | All skin types | 30 ml (packing may vary),4.2 out of 5 stars,420
"The Derma Co x Dr.V Skin Renew Peptide Retinol Serum-Cream with Peptide & Retinol - 30 ml | 1% vv | Boosts Collagen | Brightens, Renews Skin to Give a Youthful Glow | Reduces Blemishes & Dark Spots",4.3 out of 5 stars,"1,518"
The Derma Co 20% Vitamin C Face Serum | For Glowing Skin | Brightens & Evens Skin | Fights Pigmentation | Suitable for Oily Skin | 20 ml,3.9 out of 5 stars,770
